"book","section","word"
"Pride & Prejudice",31,"dance"
"Pride & Prejudice",31,"hate"
"Pride & Prejudice",31,"standing"
"Pride & Prejudice",31,"stupid"
"Pride & Prejudice",31,"manner"
"Pride & Prejudice",31,"dance"
"Pride & Prejudice",31,"detest"
"Pride & Prejudice",31,"acquainted"
"Pride & Prejudice",31,"partner"
"Pride & Prejudice",31,"assembly"
"Pride & Prejudice",32,"insupportable"
"Pride & Prejudice",32,"sisters"
"Pride & Prejudice",32,"engaged"
"Pride & Prejudice",32,"woman"
"Pride & Prejudice",32,"punishment"
"Pride & Prejudice",32,"stand"
"Pride & Prejudice",32,"fastidious"
"Pride & Prejudice",32,"cried"
"Pride & Prejudice",32,"bingley"
"Pride & Prejudice",32,"kingdom"
"Pride & Prejudice",32,"honour"
"Pride & Prejudice",32,"met"
"Pride & Prejudice",32,"pleasant"
